index,appId,image,title,current,currentPeak,allTimePeak,currentPrice,lowerPrice,description,exact,mainStory,portrait
47.,582660,https://cdn.cloudflare.steamstatic.com/steam/apps/582660/capsule_sm_120.jpg?t=1650611039,Black Desert,"18,644","20,059","60,395",N/A,N/A,"Black Desert is a sandbox, living-world MMORPG. Experience fast-paced, action-packed combat, hunt monsters and huge bosses, fight with friends in a guild to siege nodes and conquer castles, train your life skills such as fishing, trading, crafting, cooking, and much more!",true,81h 28m ,/games/Black_Desert_Online.jpg
48.,813780,https://cdn.cloudflare.steamstatic.com/steam/apps/813780/capsule_sm_120.jpg?t=1650894899,Age of Empires II: Definitive Edition,"18,277","21,866","38,725",CLP$ 8799,CLP$ 3519,"Age of Empires II: Definitive Edition features “The Last Khans” with 3 new campaigns and 4 new Civilizations. Frequent updates include events, additional content, new game modes, and enhanced features with the recent addition of Co-Op mode!",true,83%,/games/68260_Age_of_Empires_II_Definitive_Edition.jfif
49.,739630,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1650714403,Phasmophobia,"17,669","21,625","112,717",CLP$ 6100,CLP$ 5185,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.,true,16h 27m ,/games/83704_Phasmophobia.jpg
50.,1172620,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1650531801,Sea of Thieves,"17,635","23,262","66,906",CLP$ 11500,CLP$ 5750,"Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.",true,36h 16m ,/games/38053_Sea_of_Thieves.jpg
51.,292030,https://cdn.cloudflare.steamstatic.com/steam/apps/292030/capsule_sm_120.jpg?t=1648598232,The Witcher 3: Wild Hunt,"17,511","25,009","103,329",CLP$ 3660 at -80%,CLP$ 3660,"As war rages on throughout the Northern Realms, you take on the greatest contract of your life — tracking down the Child of Prophecy, a living weapon that can alter the shape of the world.",true,90%,/games/10270_The_Witcher_3_Wild_Hunt.jpg
52.,107410,https://cdn.cloudflare.steamstatic.com/steam/apps/107410/capsule_sm_120.jpg?t=1650658646,Arma 3,"17,282","23,252","56,679",CLP$ 19500,CLP$ 3900,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.",true,75%,/games/ARMA_3_box_art.jpg
53.,920210,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/capsule_sm_120.jpg?t=1650729832,LEGO® Star Wars™: The Skywalker Saga,"16,896","24,068","82,517",CLP$ 29999,CLP$ 29999,"Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character",false,N/A,N/A
54.,1158310,https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/capsule_sm_120.jpg?t=1650643824,Crusader Kings III,"16,856","20,146","98,872",CLP$ 18500,CLP$ 12395,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.",true,83h 49m ,/games/71763_Crusader_Kings_III.jpg
55.,291550,https://cdn.cloudflare.steamstatic.com/steam/apps/291550/capsule_sm_120.jpg?t=1650877844,Brawlhalla,"16,663","21,248","34,816",N/A,N/A,"An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android & Steam! Frequent updates. Over fifty Legends.",true,76h 56m ,/games/Brawlhalla_header.jpg
56.,250900,https://cdn.cloudflare.steamstatic.com/steam/apps/250900/capsule_sm_120.jpg?t=1648598270,The Binding of Isaac: Rebirth,"16,411","18,278","70,701",CLP$ 6400,CLP$ 2550,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.",true,80%,/games/TheBindingofIsaacRebirth.jpg
